crime_rate,avg_number_of_rooms,distance_to_employment_centers,property_tax_rate,pupil_teacher_ratio,TARGET
0.62356,6.879,3.2721,307,17.4,-1
0.11425,6.372999999999999,3.3633,276,16.4,1
13.6781,5.935,1.8206,666,20.2,-1
45.7461,4.519,1.6582,666,20.2,-1
0.12757000000000002,6.393,7.0355,300,16.6,-1
0.03961,6.037000000000001,5.9853,224,20.2,1
1.34284,6.066,1.7573,403,14.7,-1
0.06899,5.87,2.2577,188,19.1,1
0.03615,6.63,5.1167,245,19.2,-1
0.21161,6.1370000000000005,2.7147,384,20.9,-1
0.14455,6.172000000000001,5.9505,311,15.2,-1
73.5341,5.957000000000001,1.8026,666,20.2,-1
0.032369999999999996,6.997999999999999,6.0622,222,18.7,-1
0.14231,6.254,2.2565,432,17.8,-1
0.9761700000000001,5.757000000000001,2.346,437,21.2,-1
20.7162,4.138,1.1781,666,20.2,-1
0.10469,7.267,4.7872,254,17.6,-1
0.05735,6.63,4.4377,247,18.5,-1
0.06151,5.968,4.8122,224,20.2,-1
15.8603,5.896,1.9096,666,20.2,-1
0.11132,5.983,2.1099,711,20.1,1
0.43571000000000004,5.343999999999999,3.875,277,18.6,1
0.07151,6.121,3.7476,247,18.5,1
0.77299,6.495,4.4547,307,21.0,-1
0.12932000000000002,6.678,5.9604,289,16.0,-1
0.17446,5.96,3.8771,277,18.6,1
1.25179,5.57,3.7979,307,21.0,-1
0.25199,5.7829999999999995,4.3549,277,18.6,1
7.022589999999999,6.006,1.8746,666,20.2,-1
7.83932,6.209,2.9634,666,20.2,1
0.0686,7.416,3.4952,276,18.0,-1
0.13158,6.176,2.7301,432,17.8,1
0.02899,6.939,8.7921,335,19.7,-1
9.91655,5.852,1.5004,666,20.2,-1
0.57529,8.337,3.8384,307,17.4,-1
0.02187,6.8,6.2196,265,15.6,-1
4.898219999999999,4.97,1.3325,666,20.2,-1
1.8337700000000001,7.8020000000000005,2.0407,403,14.7,-1
0.04294,6.249,3.615,270,18.2,1
7.52601,6.417000000000001,2.185,666,20.2,-1
0.04203,6.442,3.6659,270,18.2,1
0.28955,5.412000000000001,3.5875,277,18.6,-1
0.06905,7.147,6.0622,222,18.7,-1
0.55007,7.206,1.9301,264,13.0,-1
0.33045,6.086,3.6519,307,17.4,-1
0.037380000000000004,6.31,6.4584,224,20.2,1
2.01019,7.928999999999999,2.0459,403,14.7,-1
2.2423599999999997,5.854,2.4219999999999997,403,14.7,1
0.19133,5.605,7.9549,330,19.1,-1
38.3518,5.452999999999999,1.4896,666,20.2,-1
8.71675,6.471,1.7257,666,20.2,-1
0.1415,6.169,5.7209,233,17.9,-1
0.40202,6.382000000000001,3.5325,304,18.4,-1
0.5201399999999999,8.398,2.2885,264,13.0,-1
0.03306,6.059,4.8122,224,20.2,1
0.5405,7.47,2.872,264,13.0,-1
0.03578,7.82,4.6947,216,14.9,-1
0.2896,5.39,2.7986,391,19.2,-1
0.14932,5.7410000000000005,7.2254,284,19.7,-1
0.05425,6.315,3.3175,296,16.6,-1
6.53876,7.016,1.2024,666,20.2,-1
0.13554000000000002,5.593999999999999,6.497999999999999,345,18.9,-1
0.3494,5.972,3.1025,304,18.4,1
0.65665,6.8420000000000005,2.0107,264,13.0,-1
0.21038,6.812,4.1007,216,14.9,-1
0.15098,6.021,2.7474,432,17.8,-1
14.4383,6.852,1.4655,666,20.2,-1
0.38735,5.6129999999999995,1.7572,188,19.1,-1
0.04417,6.871,7.8278,358,14.8,-1
0.04741,6.03,2.505,273,21.0,-1
0.5401100000000001,7.202999999999999,2.1121,264,13.0,-1
1.6566,6.122000000000001,1.618,403,14.7,1
0.7857,7.013999999999999,2.1329,264,13.0,-1
0.07022,6.02,3.5549,296,16.6,-1
4.22239,5.803,1.9047,666,20.2,-1
0.0536,6.511,6.8147,243,16.8,-1
4.55587,3.5610000000000004,1.6132,666,20.2,-1
0.12082999999999999,8.068999999999999,3.4952,276,18.0,-1
0.26838,5.794,2.8927,391,19.2,-1
0.18159,6.376,4.5404,287,19.6,-1
2.14918,5.709,1.6232,403,14.7,-1
9.513630000000001,6.728,2.4961,666,20.2,-1
0.061270000000000005,6.8260000000000005,4.8628,254,17.6,-1
0.035019999999999996,6.861000000000001,5.1167,245,19.2,-1
0.1,6.982,5.4917,329,16.1,-1
9.2323,6.216,1.1691,666,20.2,-1
0.2498,5.857,1.6686,437,21.2,-1
0.15037999999999999,5.856,1.9444,188,19.1,-1
0.22211999999999998,6.0920000000000005,2.548,432,17.8,-1
0.09744,5.841,3.3779,279,19.2,1
0.009059999999999999,7.087999999999999,7.3073,285,15.3,-1
0.25387,5.399,5.87,233,17.9,-1
8.49213,6.348,2.0527,666,20.2,-1
0.0315,6.975,7.6534,402,17.0,-1
0.08829,6.0120000000000005,5.5605,311,15.2,1
0.09164,6.065,5.2873,305,19.2,1
0.21719000000000002,5.807,3.6526,277,18.6,1
0.07503,7.42,3.0992,222,18.4,-1
0.26938,6.266,3.2628,304,18.4,1
0.04297,6.565,7.3172,293,16.6,-1
15.288,6.649,1.3449,666,20.2,-1
0.17004,6.004,6.5921,311,15.2,-1
0.04684,6.417000000000001,3.0923,270,17.8,1
0.44178,6.5520000000000005,3.3751,307,17.4,-1
6.96215,5.712999999999999,1.9265,666,20.2,-1
0.030489999999999996,6.874,6.4654,370,17.6,-1
0.09378,5.888999999999999,5.4509,311,15.2,1
0.024980000000000002,6.54,6.2669,422,15.9,-1
0.09266,6.495,5.4917,329,16.1,-1
0.17783,5.569,2.3999,391,19.2,-1
0.12816,5.885,6.497999999999999,345,18.9,1
1.05393,5.935,4.4986,307,21.0,-1
0.013009999999999999,7.2410000000000005,7.0379,284,15.5,-1
8.24809,7.393,2.4527,666,20.2,-1
0.0351,7.853,5.118,224,14.7,-1
0.46296000000000004,7.412000000000001,3.6715,307,17.4,-1
0.07886,7.148,5.1167,245,19.2,-1
0.28392,5.707999999999999,4.7211,287,19.6,-1
9.329089999999999,6.185,2.2616,666,20.2,-1
0.06724,6.332999999999999,5.2146,430,16.9,1
0.16439,6.433,7.8265,330,19.1,-1
0.35233000000000003,6.454,1.8498,437,21.2,-1
20.0849,4.368,1.4395,666,20.2,-1
0.17331,5.707000000000001,2.3817,391,19.2,1
37.6619,6.202000000000001,1.8629,666,20.2,-1
3.7749800000000002,5.952000000000001,2.8715,666,20.2,-1
0.01965,6.23,9.0892,241,18.2,1
11.9511,5.608,1.2852,666,20.2,-1
0.049319999999999996,6.849,3.1827,222,18.4,-1
3.5350099999999998,6.152,1.7455,403,14.7,-1
1.2074200000000002,5.875,2.4259,403,14.7,-1
0.045439999999999994,6.144,5.8736,430,16.9,-1
7.05042,6.103,2.0218,666,20.2,-1
0.22969,6.3260000000000005,4.3549,277,18.6,-1
3.32105,5.403,1.3216,403,14.7,-1
1.27346,6.25,1.7984,403,14.7,-1
0.7904100000000001,6.122000000000001,2.6403,304,18.4,1
0.030410000000000003,5.895,5.615,224,20.2,-1
0.15445,6.145,7.8148,284,19.7,-1
1.15172,5.7010000000000005,3.7872,307,21.0,-1
0.04337,6.115,6.8147,243,16.8,1
0.17899,5.67,2.7986,391,19.2,-1
17.8667,6.223,1.3861,666,20.2,-1
0.10959,6.794,2.3889,273,21.0,1
0.06047,6.153,3.2797,193,17.8,-1
0.17505,5.966,3.8473,279,19.2,-1
0.29916,5.856,4.428999999999999,223,18.6,1
2.63548,4.973,2.5194,304,18.4,-1
0.01096,6.452999999999999,7.3073,300,15.3,1
0.03466,6.031000000000001,6.6407,304,16.9,-1
0.24103000000000002,6.082999999999999,5.4159,287,19.6,1
0.07013,6.642,3.4211,276,16.4,-1
0.44791000000000003,6.726,3.6519,307,17.4,-1
0.03427,5.869,5.2311,224,20.2,-1
0.26169000000000003,6.023,2.8339999999999996,304,18.4,-1
8.20058,5.936,2.7792,666,20.2,-1
0.015009999999999999,7.922999999999999,5.885,198,13.6,-1
0.08187,7.82,3.4952,276,18.0,-1
0.12579,6.556,4.5667,398,15.2,-1
5.44114,6.655,2.3552,666,20.2,-1
2.3309900000000003,5.186,1.5296,403,14.7,-1
4.34879,6.167000000000001,3.0334,666,20.2,-1
0.76162,5.56,1.9865,264,13.0,1
5.5810699999999995,6.436,2.3158,666,20.2,-1
1.41385,6.129,1.7494,403,14.7,-1
0.08199,6.0089999999999995,5.5027,289,16.0,1
0.0795,6.579,10.7103,411,18.3,-1
0.22926999999999997,6.03,5.6894,233,17.9,-1
10.8342,6.782,1.8195,666,20.2,-1
1.2324700000000002,6.142,3.9769,307,21.0,-1
0.20608,5.593,7.9549,330,19.1,-1
0.13587,6.064,4.2392,277,18.6,-1
0.12802,6.474,2.4329,384,20.9,-1
0.053020000000000005,7.079,3.4145,270,17.8,-1
8.15174,5.39,1.7281,666,20.2,-1
15.8744,6.545,1.5192,666,20.2,-1
0.09103,7.155,2.7006,193,17.8,-1
0.13642,5.891,3.9454,277,18.6,1
1.19294,6.3260000000000005,2.271,437,21.2,-1
16.8118,5.277,1.4261,666,20.2,-1
0.19657,6.226,8.0555,330,19.1,1
9.59571,6.404,1.639,666,20.2,-1
0.19539,6.245,5.2873,305,19.2,-1
0.13117,6.127000000000001,2.1224,384,20.9,1
0.07977999999999999,6.482,4.1403,254,17.6,-1
0.04981,5.997999999999999,6.8147,243,16.8,-1
0.05515,7.236000000000001,4.022,222,18.4,-1
0.22489,6.377000000000001,6.3467,311,15.2,-1
13.0751,5.712999999999999,2.8237,666,20.2,1
1.3547200000000001,6.072,4.175,307,21.0,-1
8.26725,5.875,1.1296,666,20.2,-1
0.15936,6.211,5.7209,233,17.9,-1
0.14476,5.731,2.7592,432,17.8,-1
0.27957,5.926,2.3817,391,19.2,-1
0.36894,8.259,8.9067,330,19.1,-1
11.0874,6.4110000000000005,1.8589,666,20.2,-1
0.09512000000000001,6.2860000000000005,4.5026,398,18.7,1
0.05644,6.757999999999999,4.0776,254,17.6,-1
0.09065,5.92,3.9175,223,18.6,1
0.32982,5.822,2.4699,437,21.2,-1
0.06129,7.645,5.2119,216,14.9,-1
0.06888,6.144,2.5979,193,17.8,-1
0.08707000000000001,6.14,4.0905,398,18.7,1
24.3938,4.652,1.4672,666,20.2,-1
18.0846,6.434,1.8347,666,20.2,-1
0.07875,6.782,3.7886,398,15.2,-1
0.09068,6.9510000000000005,6.4798,398,15.2,-1
0.054970000000000005,5.985,4.8122,224,20.2,-1
0.15086,5.454,1.8209,711,20.1,-1
18.4982,4.138,1.137,666,20.2,-1
0.26363000000000003,6.229,2.5451,384,20.9,-1
0.06642,6.86,2.9153,296,16.6,-1
0.12269000000000001,6.069,5.7209,233,17.9,1
0.11747,6.0089999999999995,6.2267,311,15.2,-1
0.053720000000000004,6.5489999999999995,5.9604,289,16.0,-1
51.1358,5.757000000000001,1.413,666,20.2,-1
6.44405,6.425,2.2004,666,20.2,-1
0.19186,6.431,5.4159,287,19.6,-1
1.12658,5.012,1.6102,403,14.7,-1
0.18337,5.414,1.7554,711,20.1,-1
0.7258,5.727,3.7965,307,21.0,-1
0.07896,6.273,4.2515,398,18.7,-1
0.05083,6.316,6.4584,224,20.2,1
4.75237,6.525,2.4358,666,20.2,-1
0.06076,6.976,2.1675,273,21.0,-1
0.13058,5.872000000000001,2.4775,432,17.8,1
9.92485,6.251,2.198,666,20.2,-1
15.0234,5.303999999999999,2.1007,666,20.2,-1
0.08826,6.417000000000001,5.2873,305,19.2,-1
9.72418,6.406000000000001,2.0651,666,20.2,-1
0.05561,7.041,7.8278,358,14.8,-1
0.050589999999999996,6.388999999999999,4.7794,247,18.5,-1
0.04462,6.619,5.4007,281,19.0,-1
15.5757,5.926,2.9084,666,20.2,-1
0.10574000000000001,5.983,1.8681,711,20.1,-1
0.01778,7.135,7.6534,402,17.0,-1
0.33983,6.108,8.0555,330,19.1,-1
11.1604,6.629,2.1247,666,20.2,-1
0.11504,6.162999999999999,3.4952,276,18.0,1
0.10084,6.715,2.6775,432,17.8,1
22.0511,5.818,1.8662,666,20.2,-1
11.1081,4.906000000000001,1.1742,666,20.2,-1
5.69175,6.114,3.5459,666,20.2,-1
8.98296,6.212000000000001,2.1222,666,20.2,-1
0.82526,7.327000000000001,2.0788,264,13.0,-1
0.54452,6.151,1.6687,437,21.2,-1
0.0837,7.185,4.5667,398,15.2,-1
8.05579,5.4270000000000005,2.4298,666,20.2,-1
0.10153,6.279,4.0522,398,18.7,1
0.17142000000000002,5.682,5.1004,233,17.9,-1
1.8002799999999999,5.877000000000001,2.4259,403,14.7,-1
0.10659,5.936,10.5857,334,22.0,1
0.12329000000000001,5.912999999999999,2.3534,432,17.8,-1
0.0456,5.888,3.1121,276,16.4,-1
0.67191,5.813,4.6819999999999995,307,21.0,-1
0.34109,6.415,4.7211,287,19.6,-1
0.1396,6.167000000000001,2.421,384,20.9,1
3.69695,4.963,1.7523,666,20.2,1
0.04527,6.12,2.2875,273,21.0,1
7.67202,5.747000000000001,1.6334,666,20.2,-1
0.1676,6.426,4.5404,287,19.6,-1
0.01951,7.104,9.2229,216,18.6,-1
0.04819,6.108,9.2203,315,16.4,1
0.37578,5.404,3.665,277,18.6,-1
5.20177,6.127000000000001,2.7227,666,20.2,1
0.1146,6.537999999999999,3.9175,223,18.6,-1
